Date,Time,Open,High,Low,Close,Volume
2015.02.03,00:00,11830,11880,11754,11787,6040
2015.02.04,00:00,11788,11822,11769,11814,5751
2015.02.05,00:00,11815,11826,11750,11760,5268
2015.02.06,00:00,11760,11838,11736,11826,4640
2015.02.09,00:00,11840,11843,11805,11822,4323
2015.02.10,00:00,11821,11853,11803,11836,4761
2015.02.11,00:00,11835,11878,11827,11860,4524
2015.02.12,00:00,11863,11886,11783,11804,5678
2015.02.13,00:00,11803,11810,11769,11790,4698
2015.02.16,00:00,11778,11812,11769,11797,3737
2015.02.17,00:00,11796,11809,11768,11788,4594
2015.02.18,00:00,11788,11803,11757,11774,4598
2015.02.19,00:00,11772,11798,11754,11789,4233
2015.02.20,00:00,11790,11801,11763,11778,4766
2015.02.23,00:00,11774,11820,11774,11784,3791
2015.02.24,00:00,11783,11830,11774,11778,4479
2015.02.25,00:00,11777,11782,11740,11748,4300
2015.02.26,00:00,11747,11834,11737,11827,4439
2015.02.27,00:00,11826,11833,11803,11822,4613
2015.03.02,00:00,11830,11859,11825,11855,3763
2015.03.03,00:00,11855,11862,11816,11838,3848
2015.03.04,00:00,11839,11878,11829,11871,3968
2015.03.05,00:00,11870,11919,11869,11899,4356
2015.03.06,00:00,11899,11994,11888,11992,4422
2015.03.09,00:00,11997,12003,11962,11985,4031
2015.03.10,00:00,11984,12056,11983,12041,5713
2015.03.11,00:00,12040,12124,12030,12103,5888
2015.03.12,00:00,12103,12122,12021,12065,5905
2015.03.13,00:00,12064,12149,12064,12135,5289
2015.03.16,00:00,12137,12140,12083,12102,4650
2015.03.17,00:00,12102,12125,12087,12116,4579
2015.03.18,00:00,12117,12135,11886,11972,5527
2015.03.19,00:00,11972,12120,11947,12088,7619
2015.03.20,00:00,12088,12093,11965,11985,5874
2015.03.23,00:00,11975,12015,11919,11931,6863
2015.03.24,00:00,11931,11964,11891,11953,6044
2015.03.25,00:00,11954,11966,11907,11944,5372
2015.03.26,00:00,11943,11981,11889,11964,6021
2015.03.27,00:00,11964,12005,11955,11977,5772
2015.03.30,00:00,11982,12051,11977,12036,5140
2015.03.31,00:00,12036,12081,12033,12066,5229
2015.04.01,00:00,12065,12088,12026,12056,5611
2015.04.02,00:00,12055,12074,12022,12034,5165
2015.04.03,00:00,12035,12042,11951,11978,3011
