Date,Time,Open,High,Low,Close,Volume
2019.11.08,00:00,9944,9993,9932,9979,4852
2019.11.11,00:00,9973,10009,9973,9985,3455
2019.11.12,00:00,9984,10004,9960,9997,4600
2019.11.13,00:00,9998,10038,9988,10018,4744
2019.11.14,00:00,10017,10083,10017,10061,4860
2019.11.15,00:00,10061,10066,10003,10006,3948
2019.11.18,00:00,10004,10020,9968,10005,3799
2019.11.19,00:00,10004,10036,9991,10026,4554
2019.11.20,00:00,10025,10061,10017,10033,5459
2019.11.21,00:00,10031,10069,10013,10036,5830
2019.11.22,00:00,10035,10062,10019,10059,4544
2019.11.25,00:00,10045,10053,10022,10023,3601
2019.11.26,00:00,10023,10036,9997,10009,4587
2019.11.27,00:00,10009,10014,9961,9965,3873
2019.11.28,00:00,9965,9986,9957,9969,3811
2019.11.29,00:00,9968,9977,9963,9964,3878
2019.12.02,00:00,9963,9994,9946,9991,4430
2019.12.03,00:00,9991,10019,9957,10004,5135
2019.12.04,00:00,10004,10034,9945,9951,5149
2019.12.05,00:00,9951,9962,9934,9948,4304
2019.12.06,00:00,9947,9992,9946,9985,4179
2019.12.09,00:00,9980,10000,9974,9989,3248
2019.12.10,00:00,9988,9990,9957,9970,3915
2019.12.11,00:00,9969,9981,9938,9944,4021
2019.12.12,00:00,9943,9951,9863,9868,5701
2019.12.13,00:00,9866,9870,9774,9851,8419
2019.12.16,00:00,9848,9849,9807,9821,3969
2019.12.17,00:00,9820,9877,9815,9869,4209
2019.12.18,00:00,9869,9891,9861,9869,3765
2019.12.19,00:00,9868,9904,9849,9889,4300
2019.12.20,00:00,9889,9904,9879,9891,3620
2019.12.23,00:00,9888,9911,9880,9896,3190
2019.12.24,00:00,9896,9908,9894,9900,3312
2019.12.26,00:00,9873,9881,9846,9851,1138
2019.12.27,00:00,9853,9866,9811,9816,5589
2019.12.30,00:00,9817,9870,9817,9863,3754
2019.12.31,00:00,9863,9878,9820,9840,3468
2020.01.02,00:00,9845,9904,9831,9879,3117
2020.01.03,00:00,9878,9975,9876,9950,6340
2020.01.06,00:00,9966,9984,9896,9902,5389
2020.01.07,00:00,9902,9953,9891,9936,5226
2020.01.08,00:00,9935,10015,9878,9892,9311
2020.01.09,00:00,9892,9901,9864,9866,5173
2020.01.10,00:00,9865,9873,9840,9853,4190
2020.01.13,00:00,9852,9858,9816,9821,3665
2020.01.14,00:00,9820,9833,9794,9813,4754
2020.01.15,00:00,9813,9839,9803,9812,4058
2020.01.16,00:00,9812,9815,9783,9784,3778
2020.01.17,00:00,9784,9818,9774,9816,3600
2020.01.20,00:00,9822,9827,9808,9810,2707
2020.01.21,00:00,9809,9856,9807,9847,4509
2020.01.22,00:00,9847,9856,9814,9843,4286
2020.01.23,00:00,9842,9917,9839,9882,5186
2020.01.24,00:00,9882,9937,9860,9925,4863
2020.01.27,00:00,9957,9994,9949,9990,6753
2020.01.28,00:00,9991,10018,9963,9965,5023
2020.01.29,00:00,9965,9997,9955,9989,4790
2020.01.30,00:00,9989,10031,9982,9988,6830
2020.01.31,00:00,9987,10040,9968,10029,6178
2020.02.03,00:00,10023,10064,10007,10044,6139
2020.02.04,00:00,10044,10066,9950,9952,5475
2020.02.05,00:00,9951,9979,9921,9936,5760
2020.02.06,00:00,9935,9949,9920,9939,4770
2020.02.07,00:00,9939,10003,9937,9992,5235
2020.02.10,00:00,9998,10012,9969,9992,5006
2020.02.11,00:00,9992,9997,9953,9971,3957
2020.02.12,00:00,9971,9972,9923,9937,4085
2020.02.13,00:00,9937,9984,9936,9962,5586
2020.02.14,00:00,9961,9974,9949,9966,3985
2020.02.17,00:00,9965,9969,9949,9960,2929
2020.02.18,00:00,9960,9999,9958,9982,4490
2020.02.19,00:00,9982,9983,9836,9851,4860
2020.02.20,00:00,9850,9882,9800,9818,7597
2020.02.21,00:00,9817,9882,9809,9836,6705
2020.02.24,00:00,9884,9959,9835,9931,8551
2020.02.25,00:00,9930,9990,9899,9962,9846
2020.02.26,00:00,9961,9999,9931,9983,10544
